N,P,K,temperature,humidity,ph,moisture,crop,fertilizer
37.45,95.07,73.2,31.97,39.36,5.81,23.49,sugarcane,Urea
60.11,70.81,2.06,39.4,79.95,5.92,30.91,sugarcane,Potash
61.75,61.17,0.71,20.46,61.49,6.3,22.8,maize,Potash
36.64,45.61,78.52,23.99,60.85,6.68,22.79,wheat,Urea
68.03,45.05,1.33,38.84,63.8,6.27,20.96,rice,Potash
68.42,44.02,12.2,29.9,32.06,7.32,35.53,maize,Potash
31.17,52.01,54.67,23.7,88.18,7.05,76.37,cotton,Urea
92.67,72.73,32.65,31.41,61.25,7.42,70.67,sugarcane,Urea
53.97,58.68,96.53,32.14,46.56,6.09,29.92,tomato,Organic Mix
42.34,39.49,29.35,20.28,41.93,6.92,67.41,wheat,Potash
7.4,35.85,11.59,37.26,67.4,6.16,23.81,brinjal,Urea
66.88,66.59,59.13,25.49,63.67,6.27,78.3,wheat,Urea
72.17,23.6,25.61,20.81,72.64,5.72,46.36,wheat,DAP
3.14,63.64,31.44,30.17,84.45,6.0,44.62,wheat,Urea
20.31,94.29,59.89,33.9,82.83,6.75,37.74,sugarcane,Urea
87.15,80.37,18.66,37.85,62.36,7.11,73.77,brinjal,Potash
90.68,27.21,64.77,20.01,51.15,6.11,29.88,wheat,DAP
41.74,22.21,11.99,26.75,86.57,6.15,51.13,tomato,DAP
40.38,6.49,25.39,24.94,71.78,6.92,28.89,tomato,DAP
26.68,97.66,41.1,20.66,50.7,6.77,60.84,sugarcane,Urea
48.95,98.57,24.21,33.44,75.7,5.98,63.69,sugarcane,Potash
63.23,63.35,53.58,21.81,80.12,6.14,31.19,sugarcane,DAP
59.09,67.76,1.66,30.24,43.59,6.79,30.46,tomato,Potash
39.76,51.78,83.77,33.51,74.11,5.92,52.49,rice,Urea
25.79,66.0,81.72,31.1,61.78,5.98,25.59,maize,Urea
55.83,88.26,18.87,25.58,72.02,7.19,71.38,cotton,Potash
77.99,64.2,8.41,23.23,83.91,6.71,20.55,cotton,Potash
94.01,97.37,28.39,26.11,59.14,6.4,79.67,maize,Potash
71.22,23.72,32.54,34.93,68.98,7.2,59.46,tomato,DAP
54.25,50.88,63.63,25.01,65.39,7.46,49.2,wheat,NPK 19:19:19
79.48,50.26,57.69,29.85,41.71,6.94,36.85,wheat,Urea
4.36,99.46,46.99,25.59,83.01,7.0,77.18,sugarcane,Urea
42.82,96.67,96.36,37.06,47.67,6.27,71.07,wheat,DAP
55.68,93.62,69.6,31.4,35.83,6.73,79.4,rice,NPK 19:19:19
51.83,87.74,74.08,33.94,72.15,6.22,37.62,brinjal,Compost
81.01,86.71,91.32,30.23,60.09,7.1,59.0,cotton,Organic Mix
89.0,33.8,37.56,21.88,64.7,5.57,47.94,brinjal,Compost
28.65,59.08,3.05,20.75,79.36,6.22,27.62,tomato,Urea
82.79,27.15,96.53,29.15,80.52,5.89,44.68,wheat,DAP
63.74,72.61,97.59,30.33,49.38,7.09,36.25,maize,Urea
7.85,2.54,96.26,36.72,71.76,6.32,30.4,tomato,Urea
44.24,23.98,9.39,23.66,86.08,6.78,51.0,brinjal,DAP
43.57,73.0,4.77,31.32,39.52,5.74,40.51,maize,Potash
4.6,4.07,85.55,34.07,58.45,5.7,49.5,brinjal,Urea
34.63,46.47,64.98,20.96,86.95,7.27,35.65,rice,Urea
62.59,50.31,85.65,33.17,39.78,5.64,58.55,tomato,Organic Mix
80.09,67.72,57.34,22.57,78.67,7.14,57.56,tomato,NPK 19:19:19
65.15,20.67,27.4,24.29,52.64,5.58,57.1,brinjal,DAP
7.12,31.9,84.49,20.47,78.87,6.06,27.09,sugarcane,Urea
34.83,93.66,3.92,28.36,88.05,6.6,45.41,wheat,Urea
99.05,41.26,37.2,35.53,50.45,7.36,71.5,tomato,Organic Mix
75.09,75.45,10.31,38.05,60.32,7.15,39.2,wheat,Potash
10.0,5.35,95.85,36.94,51.29,7.41,60.61,maize,Urea
57.34,63.18,44.84,25.86,49.72,6.85,65.14,brinjal,NPK 19:19:19
11.35,93.09,97.42,39.92,33.35,6.97,52.75,wheat,Urea
11.71,14.3,76.15,32.36,36.07,5.67,62.06,rice,Urea
39.67,89.19,14.66,30.27,43.99,6.66,71.79,cotton,Urea
81.28,94.72,98.6,35.07,52.58,5.67,66.63,cotton,DAP
24.87,33.03,43.45,25.07,54.31,6.64,64.46,sugarcane,Urea
82.28,74.42,68.1,24.75,54.01,6.46,24.97,tomato,Compost
43.63,80.21,97.79,31.12,49.36,5.59,75.48,maize,Compost
25.3,69.54,7.54,23.32,43.01,6.09,79.75,cotton,Urea
58.43,90.12,4.54,25.62,87.02,7.28,47.34,maize,Potash
33.57,16.97,64.68,27.77,43.76,6.03,41.62,maize,Urea
98.62,69.82,53.61,26.19,78.83,6.87,29.76,cotton,DAP
82.25,94.98,72.57,32.27,55.09,7.37,71.96,sugarcane,Compost
2.64,37.65,81.06,39.75,39.03,6.69,42.85,cotton,Urea
82.92,56.91,6.35,20.74,38.03,5.53,24.52,maize,Potash
81.29,99.97,99.66,31.11,76.14,7.39,70.98,tomato,NPK 19:19:19
45.05,12.92,95.41,32.12,43.72,6.84,57.09,maize,DAP
26.87,2.22,49.82,29.52,79.88,6.12,68.98,maize,Urea
56.09,87.67,40.35,22.68,31.73,7.01,57.22,rice,NPK 19:19:19
21.3,13.64,1.45,27.01,65.4,6.28,46.25,brinjal,Organic Mix
34.83,51.4,78.37,27.93,67.33,7.22,76.97,maize,Urea
45.93,84.21,76.89,21.32,32.75,6.74,40.84,cotton,DAP
57.96,34.16,53.73,29.2,65.09,6.3,61.86,maize,Potash
34.57,89.68,47.4,33.35,40.34,5.88,22.45,sugarcane,Urea
34.51,34.76,3.18,30.97,62.07,6.21,73.65,tomato,Urea
50.34,69.04,3.93,35.99,67.67,5.66,72.41,brinjal,Potash
37.73,0.26,86.83,21.69,65.84,7.47,52.2,cotton,Urea
23.61,76.0,53.13,34.41,33.74,5.8,27.99,wheat,Urea
89.52,51.17,53.21,22.14,56.84,6.57,34.55,tomato,Organic Mix
37.73,2.01,32.21,24.23,49.65,5.74,73.43,maize,Urea
47.4,35.51,64.88,29.59,65.05,6.97,53.46,tomato,Organic Mix
37.88,33.74,89.96,32.15,44.66,6.5,39.82,tomato,Urea
23.72,10.18,15.29,24.92,39.64,5.87,37.11,brinjal,Organic Mix
89.68,8.02,52.45,28.21,88.94,5.72,43.87,maize,DAP
91.74,0.53,97.51,29.81,73.37,7.14,63.11,wheat,DAP
57.16,28.0,76.95,23.74,49.42,6.35,50.46,tomato,DAP
52.98,70.72,76.78,21.75,60.37,7.36,39.24,wheat,Urea
36.92,45.43,54.86,30.98,42.1,6.87,25.27,brinjal,Urea
68.15,76.02,59.56,29.43,54.71,6.2,75.77,cotton,Potash
96.5,12.43,73.09,38.77,40.87,5.63,64.47,cotton,DAP
4.81,78.15,82.79,35.01,77.97,7.15,31.18,wheat,Urea
66.52,52.31,35.88,37.54,53.55,7.13,46.35,cotton,DAP
62.41,53.98,43.87,31.55,51.32,6.28,51.91,sugarcane,DAP
54.28,43.15,33.28,34.61,71.62,5.83,72.72,tomato,Compost
89.39,78.86,15.17,26.23,44.91,6.99,22.01,cotton,Potash
71.41,49.4,75.46,22.06,62.19,6.26,47.42,maize,Compost
53.99,48.64,40.9,35.44,30.73,6.7,53.93,rice,NPK 19:19:19
59.9,82.68,95.91,26.85,43.64,6.35,37.28,wheat,DAP
58.62,50.59,61.15,20.36,82.33,7.36,53.91,maize,Compost
92.25,70.72,15.25,31.53,66.4,6.35,64.19,tomato,Potash
